household_ID,member_ID,age,relationship_to_the_head_of_household,gender,ethnicity,religion,marital_status,current_attendance_in_any_education_instituition,highest_level_of_education,main_activity_engaged_in,main_occupation,daily_wage_owner_or_not,employment_status_of_the_main_occupation,no_of_hours_stayed_at_home_during_last_week,member_went_out_for_work_or_not_during_last_week
ID1884,I2,27,Son/daughter,Male,Sinhala,Roman Catholicism,Legally separated,Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,Yes,Own account worker,84.0,"Yes, went daily during working days"
ID1884,I3,7,Grandson/ Granddaughter,Male,Sinhala,Roman Catholicism,Never married,School,Passed Grade 1,,,,,96.0,
ID1885,I1,52,Head of the household,Male,Sri Lankan Tamil,Hinduism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Craft and related worker,No,Private sector employee,168.0,"Yes, went on most of the days"
ID1885,I2,44,Wife/Husband,Female,Sri Lankan Tamil,Hinduism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID1885,I3,22,Son/daughter,Female,Sri Lankan Tamil,Hinduism,Never married,University,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,84.0,"Yes, went daily during working days"
ID1885,I4,19,Son/daughter,Male,Sri Lankan Tamil,Hinduism,Never married,School,Passed G.C.E.(O/L),Student,,,,15.0,
ID1885,I5,12,Son/daughter,Female,Sri Lankan Tamil,Hinduism,Never married,School,Passed Grade 6,Student,,,,168.0,
ID1886,I1,52,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Craft and related worker,Yes,Own account worker,168.0,"No, worked from home"
ID1886,I2,34,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID1886,I3,14,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 9,Student,,,,168.0,
ID1886,I4,11,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 5,,,,,168.0,
ID1886,I5,8,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 3,,,,,168.0,
ID1886,I6,54,Other relative,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 10,Student,,,,168.0,
ID1887,I1,41,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,Yes,Own account worker,84.0,"Yes, went daily during working days"
ID1887,I2,40,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID1887,I3,7,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 2,,,,,100.0,
ID1887,I4,5,Son/daughter,Female,Sinhala,Buddhism,Never married,School,No Schooling,,,,,168.0,
ID1888,I1,36,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 8,Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,Yes,Private sector employee,120.0,"Yes, went on most of the days"
ID1888,I2,30,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 7,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,120.0,"Yes, went on most of the days"
ID1888,I3,66,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 5,Household activities,,,,0.0,
ID1889,I1,37,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Private sector employee,114.0,"Yes, went daily during working days"
ID1889,I2,72,Parents of the head of the Household/ spouse,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Retired from the private/semi-government sector and does not obtain any pension payment,,,,168.0,
ID1889,I3,72,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,0.0,
ID1889,I4,29,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Clerk,No,Government employee,97.0,"Yes, went daily during working days"
ID1889,I5,4,Son/daughter,Female,Sinhala,Buddhism,Never married,Preschool,,,,,,97.0,
ID1889,I6,2,Son/daughter,Male,Sinhala,Buddhism,Never married,,,,,,,97.0,
ID1890,I1,62,Wife/Husband,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 7,Engaged in economic activity/ currently employed/ engaged in own business,Plant and machine operator and assembler,Yes,Private sector employee,120.0,"Yes, went on most of the days"
ID1890,I2,55,Wife/Husband,Female,Sri Lankan Moor/Muslim,Buddhism,Currently married (registered),Does not attend,Passed Grade 5,Household activities,,,,168.0,
ID1890,I3,26,Son/daughter,Female,Sinhala,Buddhism,Never married,Does not attend,Passed Degree / Diploma,Household activities,,,,168.0,
ID1890,I4,22,Son/daughter,Female,Sinhala,Buddhism,Never married,Other educational institution,Passed G.C.E.(A/L) or equivalent,Student,,,,168.0,
ID1891,I1,47,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 2,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,Yes,Private sector employee,136.5,"Yes, went on most of the days"
ID1891,I2,77,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Widowed,Does not attend,No Schooling,Too old / Disable/ unable to work,,,,168.0,
ID1891,I3,46,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 9,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,Yes,Private sector employee,87.5,"Yes, went daily during working days"
ID1891,I4,19,Son/daughter,Male,Sinhala,Buddhism,Never married,Other educational institution,Passed Grade 10,Student,,,,118.0,
ID1891,I5,14,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 9,Student,,,,168.0,
ID1891,I6,9,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 3,,,,,158.0,
ID1892,I1,58,Head of the household,Male,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Plant and machine operator and assembler,Yes,Private sector employee,96.0,"Yes, went daily during working days"
ID1892,I2,24,Son/daughter,Female,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID1892,I3,17,Son/daughter,Male,Sinhala,Buddhism,Never married,Vocational/Technical Institution,Passed Grade 10,Student,,,,166.0,
ID1893,I1,76,Head of the household,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed post Graduate Degree / Diploma,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,168.0,
ID1893,I2,39,Son/daughter,Male,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,136.0,"Yes, went daily during working days"
ID1893,I3,35,Son/daughter,Female,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed G.C.E.(O/L),Student,,,,70.0,
ID1893,I4,10,Grandson/ Granddaughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 5,,,,,119.0,
ID1894,I1,40,Head of the household,Male,Sinhala,Other,Never married,Does not attend,Passed G.C.E.(O/L),Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Clerk,Yes,Private sector employee,65.0,"Yes, went daily during working days"
ID1894,I2,29,Other relative,Male,Sinhala,Other,Never married,Does not attend,Passed G.C.E.(O/L),Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Clerk,Yes,Private sector employee,24.0,"Yes, went daily during working days"
ID1894,I3,67,Parents of the head of the Household/ spouse,Male,Sinhala,Other,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,133.0,
ID1895,I1,35,Head of the household,Male,Sinhala,Roman Catholicism,Currently married (customary),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Semi government employee,60.0,"Yes, went on most of the days"
ID1895,I2,35,Wife/Husband,Female,Sinhala,Roman Catholicism,Currently married (customary),Does not attend,Passed GAQ (General Arts Qualifying (External) Examination)/GSQ (General Science Qualifying examination),Household activities,,,,120.0,
ID1895,I3,3,Son/daughter,Male,Sinhala,Roman Catholicism,Never married,Preschool,,,,,,100.0,
ID1896,I1,45,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,168.0,"Yes, went on most of the days"
ID1896,I2,39,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID1896,I3,18,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 12,Student,,,,138.0,
ID1896,I4,13,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 9,Student,,,,154.0,
ID1897,I1,48,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Clerk,No,Government employee,105.0,"Yes, went daily during working days"
ID1897,I2,40,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,160.0,
ID1897,I3,18,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(O/L),Student,,,,96.0,
ID1897,I4,77,Parents of the head of the Household/ spouse,Male,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 10,Too old / Disable/ unable to work,,,,168.0,
ID1898,I1,31,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 9,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Skilled agricultural and fishery worker,Yes,Private sector employee,128.0,"Yes, went daily during working days"
ID1898,I2,28,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 9,Household activities,,,,159.3,
ID1898,I3,8,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 3,,,,,155.3,
ID1898,I4,6,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 1,,,,,155.3,
ID1899,I1,31,Head of the household,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,132.0,"Yes, went daily during working days"
ID1899,I2,58,Parents of the head of the Household/ spouse,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 8,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,80.0,"Yes, went daily during working days"
ID1899,I3,55,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,165.0,
ID1899,I4,32,Other relative,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,80.0,"Yes, went daily during working days"
ID1899,I5,24,Other relative,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID1899,I6,3,Other relative,Female,Sinhala,Buddhism,Never married,Does not attend,,,,,,168.0,
ID1899,I7,27,Other relative,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,0.0,"Yes, went daily during working days"
ID1900,I1,80,Head of the household,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 2,Household activities,,,,140.0,
ID1901,I1,55,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,49.0,"Yes, went daily during working days"
ID1901,I2,48,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Clerk,No,Semi government employee,84.0,"Yes, went daily during working days"
ID1901,I3,24,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,No,Private sector employee,62.0,"Yes, went daily during working days"
ID1901,I4,15,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 10,Student,,,,126.0,
ID1902,I1,83,Head of the household,Female,Sinhala,Roman Catholicism,Widowed,Does not attend,Passed G.C.E.(A/L) or equivalent,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,168.0,
ID1902,I2,34,Domestic servant/driver/watcher,Female,Sri Lankan Tamil,Hinduism,Currently married (customary),Does not attend,Passed Grade 7,Retired from the private/semi-government sector and does not obtain any pension payment,,,,72.0,
ID1903,I1,60,Head of the household,Male,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 8,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,84.0,"Yes, went daily during working days"
ID1903,I2,32,Son/daughter,Female,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,No,Private sector employee,84.0,"Yes, went daily during working days"
ID1903,I3,32,Son-in-law/Daughter in law,Male,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,No,Private sector employee,84.0,"Yes, went daily during working days"
ID1903,I4,11,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 6,,,,,0.0,
ID1904,I1,24,Head of the household,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,168.0,"Yes, went daily during working days"
ID1904,I2,63,Other relative,Female,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed Grade 2,Household activities,,,,168.0,
ID1905,I1,39,Head of the household,Female,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 7,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Skilled agricultural and fishery worker,No,Private sector employee,100.2,"Yes, went daily during working days"
ID1905,I2,62,Other relative,Female,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 4,Household activities,,,,168.0,
ID1905,I3,60,Other relative,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 5,Household activities,,,,168.0,
ID1906,I1,35,Head of the household,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,94.0,"Yes, went daily during working days"
ID1906,I2,29,Wife/Husband,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 12,Household activities,,,,168.0,
ID1906,I3,7,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,Does not attend,Passed Grade 3,,,,,133.0,
ID1906,I4,3,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,School,,,,,,140.0,
ID1907,I1,75,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,160.0,
ID1907,I2,70,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Too old / Disable/ unable to work,,,,168.0,
ID1907,I3,26,Son/daughter,Female,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Private sector employee,84.0,"Yes, went daily during working days"
ID1908,I1,67,Head of the household,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Employer,142.0,"Yes, went daily during working days"
ID1908,I2,63,Wife/Husband,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID1908,I3,47,Son-in-law/Daughter in law,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,120.0,
ID1908,I4,37,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID1908,I5,33,Son-in-law/Daughter in law,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID1909,I1,50,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,No,Private sector employee,100.0,"Yes, went on most of the days"
ID1909,I2,41,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 12,Household activities,,,,100.0,
ID1909,I3,13,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 8,Student,,,,100.0,
ID1909,I4,7,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 2,,,,,100.0,
ID1910,I1,57,Head of the household,Female,Sinhala,Roman Catholicism,Widowed,Does not attend,Passed Grade 10,Household activities,,,,138.0,
ID1911,I1,43,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,No,Private sector employee,75.0,"Yes, went daily during working days"
ID1911,I2,40,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Still a toddler,Passed G.C.E.(A/L) or equivalent,Household activities,,,,154.0,
ID1911,I3,17,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed G.C.E.(O/L),Student,,,,70.0,
ID1911,I4,11,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 5,,,,,60.0,
ID1911,I5,8,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 2,,,,,160.0,
ID1912,I1,50,Head of the household,Male,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,No,Government employee,80.0,"Yes, went daily during working days"
ID1912,I2,48,Wife/Husband,Female,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,140.0,
ID1912,I3,26,Son/daughter,Female,Sinhala,Roman Catholicism,Never married,Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,No occupation,No,Private sector employee,150.0,"Yes, went on most of the days"
ID1912,I4,18,Son/daughter,Female,Sinhala,Roman Catholicism,Never married,Vocational/Technical Institution,Passed Grade 10,Student,,,,100.0,
ID1912,I5,8,Son/daughter,Male,Sinhala,Roman Catholicism,Never married,School,Passed Grade 3,,,,,150.0,
ID1913,I1,55,Head of the household,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,70.0,"Yes, went daily during working days"
ID1913,I2,45,Wife/Husband,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID1913,I3,32,Son-in-law/Daughter in law,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,70.0,"Yes, went daily during working days"
ID1913,I4,27,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Private sector employee,70.0,"Yes, went daily during working days"
ID1913,I5,25,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID1913,I6,22,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Student,,,,72.0,
ID1913,I7,19,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 12,Student,,,,0.0,
ID1913,I8,2,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Never married,,,,,,,168.0,
ID1914,I1,76,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Clerk,No,Semi government employee,84.0,"No, worked from home"
ID1914,I2,78,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Clerk,No,Semi government employee,84.0,"No, worked from home"
ID1915,I1,67,Head of the household,Female,Sinhala,Roman Catholicism,Widowed,Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,Yes,Private sector employee,168.0,"No, worked from home"
ID1916,I1,62,Head of the household,Female,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Studying/Studied Grade 1,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,91.0,"Yes, went daily during working days"
ID1916,I2,69,Wife/Husband,Male,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Passed Grade 7,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,143.0,"Yes, went on most of the days"
ID1916,I3,37,Son/daughter,Female,Sinhala,Roman Catholicism,Widowed,Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Clerk,Yes,Private sector employee,84.0,"Yes, went daily during working days"
ID1916,I4,18,Grandson/ Granddaughter,Male,Sinhala,Roman Catholicism,Never married,Other educational institution,Passed G.C.E.(O/L),Seeking for and available to work,No occupation,,Contributing family worker,0.0,"No, worked from home"
ID1916,I5,10,Grandson/ Granddaughter,Male,Sinhala,Roman Catholicism,Never married,School,Passed Grade 5,,,,,150.0,
ID1916,I6,4,Grandson/ Granddaughter,Male,Sinhala,Roman Catholicism,Never married,School,,,,,,148.0,
ID1917,I1,43,Head of the household,Male,Sri Lankan Tamil,Hinduism,Currently married (registered),Does not attend,Passed Grade 5,Engaged in economic activity/ currently employed/ engaged in own business,Skilled agricultural and fishery worker,Yes,Private sector employee,85.0,"Yes, went on most of the days"
ID1917,I2,39,Wife/Husband,Female,Sri Lankan Tamil,Hinduism,Currently married (registered),Does not attend,Passed Grade 5,Engaged in economic activity/ currently employed/ engaged in own business,Skilled agricultural and fishery worker,Yes,Private sector employee,85.0,"Yes, went on most of the days"
ID1917,I3,11,Son/daughter,Male,Sri Lankan Tamil,Hinduism,Never married,School,Passed Grade 6,,,,,168.0,
ID1918,I1,91,Head of the household,Male,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed post Graduate Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Contributing family worker,168.0,"No, worked from home"
ID1918,I2,86,Wife/Husband,Female,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID1918,I3,59,Son/daughter,Male,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,100.0,"No, worked from home"
ID1918,I4,59,Son-in-law/Daughter in law,Female,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,120.0,
ID1918,I5,56,Son/daughter,Male,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,120.0,"Yes, went daily during working days"
ID1918,I6,55,Son-in-law/Daughter in law,Female,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,130.0,"No, worked from home"
ID1918,I7,51,Son/daughter,Female,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed Degree / Diploma,Household activities,,,,60.0,
ID1919,I1,30,Head of the household,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Own account worker,70.0,"Yes, went daily during working days"
ID1919,I2,31,Wife/Husband,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,165.0,
ID1919,I3,9,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 4,,,,,150.0,
ID1919,I4,6,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 1,,,,,150.0,
ID1920,I1,57,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,No,Private sector employee,98.0,"Yes, went daily during working days"
ID1920,I2,57,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 4,Household activities,,,,168.0,
ID1920,I3,20,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 12,Student,,,,97.0,
ID1921,I1,81,Head of the household,Male,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed G.C.E.(O/L),Other,,,,105.0,
ID1921,I2,23,Grandson/ Granddaughter,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed post Graduate Degree / Diploma,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,108.0,
ID1922,I1,54,Wife/Husband,Female,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Passed Grade 12,Household activities,,,,160.0,
ID1922,I2,27,Son/daughter,Female,Sinhala,Roman Catholicism,Never married,Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Private sector employee,80.0,"Yes, went on most of the days"
ID1922,I3,59,Head of the household,Male,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,0.0,"Yes, went on most of the days"
ID1923,I1,35,Head of the household,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 8,Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,Yes,Private sector employee,168.0,"Yes, went on most of the days"
