household_ID,no_of_electricity_meters,electricity_provider_csc_area,own_the_house_or_living_on_rent,occupy_renters_boarders,awareness_of_electricity_consumption_of_renters,built_year_of_the_house,type_of_house,floor_which_house_located,no_of_storeys,floor_area,no_of_household_members,charging_method_of_renters_for_electricity,charged_method_for_rent_for_electricity,is_there_business_carried_out_in_the_household,type_of_business,whom_or_how_the_house_was_designed,availability_of_certificate_of_compliance,main_material_used_for_walls_of_the_house,main_material_used_for_roof_of_the_house,any_constructions_or_renovations_in_the_household,highest_level_of_education_of_the_chief_wage_earner,occupation_of_the_chief_wage_earner,socio_economic_class,total_monthly_expenditure_of_last_month,type_of_electricity_meter
ID1980,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,800.0,2,,,No,,The house is designed by a certified architect.,Don't know,Cabook,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,30000.0,Smart meter
ID1981,1,PITA-KOTTE,"No, I or any household member does not own or rent this household. We occupy this household without any payment of rent.",,,Don't know,Single House - Single Floor,,,450.0,3,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,No,Wood / Takaran / Asbestos,Asbestos,No,Schooling up to Grade 6 - 9,Unskilled Worker,SEC E,50000.0,Smart meter
ID1982,1,JA-ELA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,1200.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,60000.0,Non smart meter
ID1983,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,250.0,5,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,35000.0,Non smart meter
ID1984,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Single Floor,,,2400.0,7,,,No,,The house is designed by a certified architect.,Don't know,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,150000.0,Smart meter
ID1985,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Double Floor,,,2400.0,3,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,100000.0,Smart meter
ID1986,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - More than 2 floors,,3.0,4200.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,100000.0,Smart meter
ID1987,1,NEGOMBO,"No, I or any household member does not own or rent this household. We occupy this household without any payment of rent.",,,Don't know,Single House - Single Floor,,,1200.0,6,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Asbestos,No,Diploma with O/L or A/L (Non graduate),Manager / Professional,SEC A,150000.0,Non smart meter
ID1988,1,AMBALANGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,3000.0,2,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Clerk / Salesman grades,SEC B,40000.0,Non smart meter
ID1989,1,MORATUWA NORTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,360.0,3,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Asbestos,No,Diploma with O/L or A/L (Non graduate),Manager / Professional,SEC A,40000.0,Smart meter
ID1990,1,KESELWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,500.0,7,,,No,,I am not aware of that.,No,Cement Block,Asbestos,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,70000.0,Smart meter
ID1991,1,PAYAGALA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,625.0,5,,,No,,"The house plan is not done by an architect, nor checked by a certified architect / engineer, the house is designed to barely pass the legal requirements of the local authorities.",No,Cabook,Concrete,No,Schooling up to Grade 6 - 9,Unskilled Worker,SEC E,20000.0,Non smart meter
ID1992,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1400.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Junior executive / Executive,SEC A,180000.0,Smart meter
ID1993,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,2500.0,7,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Skilled Worker,SEC C,100000.0,Smart meter
ID1994,1,NUGEGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Double Floor,,,1700.0,3,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Middle and Senior executive,SEC A,100000.0,Smart meter
ID1995,1,KALUTARA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,900.0,4,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Cabook,Tile,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,60000.0,Non smart meter
ID1996,1,KALUTARA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,1500.0,3,,,No,,The house is designed by a certified architect.,Don't know,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,60000.0,Non smart meter
ID1997,1,KALUTARA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Double Floor,,,2500.0,4,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,O/L or A/L pending / Passed,1-9 Employed,SEC B,70000.0,Non smart meter
ID1998,1,KALUTARA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,2000.0,6,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Self employed (Professional) - No employees,SEC B,55000.0,Non smart meter
ID1999,1,KALUTARA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,600.0,1,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Brick,Tile,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,40000.0,Non smart meter
ID2000,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,500.0,5,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Yes,Brick,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Clerk / Salesman grades,SEC B,60000.0,Smart meter
ID2001,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,750.0,7,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Supervisor grades,SEC A,230000.0,Smart meter
ID2002,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,450.0,5,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Don't know,Wood / Takaran / Asbestos,Asbestos,No,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,60000.0,Smart meter
ID2003,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,200.0,2,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Don't know,Wood / Takaran / Asbestos,Asbestos,No,Primary Education,Self employed (Professional) - No employees,SEC D,,Smart meter
ID2004,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,384.0,4,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Yes,Wood / Takaran / Asbestos,Asbestos,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,70000.0,Smart meter
ID2005,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,392.0,8,,,Yes,A shop,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Yes,Cement Block,Asbestos,No,Schooling up to Grade 6 - 9,Self employed (Professional) - No employees,SEC D,150000.0,Smart meter
ID2006,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,300.0,4,,,No,,I am not aware of that.,Yes,Cabook,Asbestos,No,Schooling up to Grade 6 - 9,Unskilled Worker,SEC E,15000.0,Smart meter
ID2007,1,MORATUWA SOUTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,400.0,4,,You pay the full amount of the electricity bill.,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Don't know,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,15000.0,Smart meter
ID2008,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - More than 2 floors,,3.0,500.0,4,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,O/L or A/L pending / Passed,Junior executive / Executive,SEC B,90000.0,Non smart meter
ID2009,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,750.0,1,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Middle and Senior executive,SEC A,30000.0,Smart meter
ID2010,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,700.0,3,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Yes,Cement Block,Asbestos,Yes,O/L or A/L pending / Passed,Unskilled Worker,SEC D,40000.0,Smart meter
ID2011,2,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,2500.0,2,,,No,,I am not aware of that.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,150000.0,Smart meter
ID2012,1,PAYAGALA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,600.0,4,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Asbestos,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,80000.0,Non smart meter
ID2013,1,PAYAGALA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,500.0,5,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,Cement Block,Asbestos,No,O/L or A/L pending / Passed,1-9 Employed,SEC B,100000.0,Non smart meter
ID2014,1,PAYAGALA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,450.0,5,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,80000.0,Non smart meter
ID2015,1,PAYAGALA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,2400.0,5,,,No,,I am not aware of that.,Don't know,Cabook,Tile,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,50000.0,Non smart meter
ID2016,1,KALUTARA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,300.0,6,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,No,Cement Block,Asbestos,No,Schooling up to Grade 6 - 9,Clerk / Salesman grades,SEC D,45000.0,Non smart meter
ID2017,1,SEEDUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,2100.0,4,,,No,,The house plan was not done by an architect but checked by a certified architect or engineer.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,180000.0,Smart meter
ID2018,1,KESELWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Slum / Shanty,,1.0,300.0,4,,,No,,I am not aware of that.,No,Wood / Takaran / Asbestos,Takaran,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,60000.0,Smart meter
ID2019,1,KESELWATTA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Double Floor,,,800.0,4,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Concrete,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,70000.0,Smart meter
ID2020,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,608.0,3,,,No,,I am not aware of that.,Don't know,Brick,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,65000.0,Smart meter
ID2021,3,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,800.0,2,,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,Diploma with O/L or A/L (Non graduate),Clerk / Salesman grades,SEC B,50000.0,Smart meter
ID2022,1,JA-ELA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,3200.0,4,,,No,,I am not aware of that.,Don't know,Cement Block,Tile,No,Diploma with O/L or A/L (Non graduate),Skilled Worker,SEC C,200000.0,Non smart meter
ID2023,1,DALUGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,900.0,4,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Don't know,Brick,Tile,No,Graduate / Post-Grads / Degree level professional qualification,10+ Employed,SEC A,60000.0,Non smart meter
ID2024,1,MORATUWA NORTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,2600.0,3,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Asbestos,No,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,45000.0,Non smart meter
ID2025,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,1000.0,2,,,No,,The house is designed by a certified architect.,No,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Clerk / Salesman grades,SEC B,60000.0,Smart meter
ID2026,1,KESELWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,1200.0,4,,,No,,The house is designed by a certified architect.,No,Cement Block,Concrete,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Clerk / Salesman grades,SEC B,120000.0,Smart meter
ID2027,1,NUGEGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,2500.0,6,,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,Diploma with O/L or A/L (Non graduate),Middle and Senior executive,SEC A,150000.0,Smart meter
ID2028,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,450.0,2,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Yes,Cement Block,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),1-9 Employed,SEC A,60000.0,Smart meter
ID2029,1,KOLONNAWA,"No, I am living on rent and the rent is paid by me or a household member.",,,2000-2009,Single House - Single Floor,,,680.62,4,,You pay the full amount of the electricity bill.,No,,The house is designed by a certified architect.,Don't know,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,80000.0,Non smart meter
ID2030,1,PANADURA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Flat,1.0,3.0,300.0,4,,,Yes,Other,This is a house provided by the government.,No,Cement Block,Concrete,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,30000.0,Non smart meter
ID2031,1,KESELWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,500.0,3,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Don't know,Cement Block,Asbestos,No,Schooling up to Grade 6 - 9,Unskilled Worker,SEC E,15000.0,Smart meter
ID2032,1,JA-ELA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,2100.0,5,,,No,,The house is designed by a certified architect.,Don't know,Brick,Tile,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,90000.0,Non smart meter
ID2033,2,GALLE,"Yes, I or a household member owns it.",Boarders who live in your house using a room/s that is attached to your living conditions.,"I know all the details about the electricity consumption of the renters/ boarders; i.e.; the appliances they use and the number of hours they use each appliance, the times they keep the lights and fans switched on etc.",In 2020 or After 2020,Single House - Double Floor,,,4200.0,2,You charge a fixed amount every month for electricity.,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Skilled Worker,SEC B,100000.0,Smart meter
ID2034,1,SEEDUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,480.0,4,,,Yes,Other,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Brick,Tile,Yes,Primary Education,Self employed (Professional) - No employees,SEC D,50000.0,Smart meter
ID2035,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1200.0,4,,,No,,I am not aware of that.,Don't know,Cabook,Tile,No,Diploma with O/L or A/L (Non graduate),Clerk / Salesman grades,SEC B,75000.0,Smart meter
ID2036,1,MORATUWA NORTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,2600.0,6,,You pay the full amount of the electricity bill.,Yes,Other,I am not aware of that.,Don't know,I am not aware of that,Asbestos,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,160000.0,Smart meter
ID2037,1,PANADURA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Flat,1.0,3.0,300.0,8,,,No,,This is a house provided by the government.,No,Cement Block,Concrete,No,Schooling up to Grade 6 - 9,Unskilled Worker,SEC E,30000.0,Non smart meter
ID2038,1,DALUGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1500.0,4,,,No,,The house is designed by a certified architect.,Don't know,Brick,Asbestos,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,150000.0,Non smart meter
ID2039,1,DALUGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1500.0,4,,,No,,I am not aware of that.,Yes,Cement Block,Concrete,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,25000.0,Non smart meter
ID2040,1,KOLONNAWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,816.75,4,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,45000.0,Non smart meter
ID2041,1,KESELWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,1200.0,8,,,No,,I am not aware of that.,Don't know,I am not aware of that,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,160000.0,Smart meter
ID2042,1,NUGEGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,1200.0,6,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,150000.0,Smart meter
ID2043,1,SEEDUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Double Floor,,,1200.0,5,,,Yes,A shop,The house is designed by a certified architect.,Yes,Brick,Concrete,Yes,O/L or A/L pending / Passed,Supervisor grades,SEC C,150000.0,Smart meter
ID2044,1,DALUGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,2500.0,2,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,,Non smart meter
ID2045,1,MORATUWA SOUTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,800.0,3,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Asbestos,No,Diploma with O/L or A/L (Non graduate),Clerk / Salesman grades,SEC B,70000.0,Smart meter
ID2046,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Single Floor,,,300.0,6,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,120000.0,Smart meter
ID2047,1,KOLONNAWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,1089.0,4,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,100000.0,Non smart meter
ID2048,1,DALUGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,1200.0,3,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,80000.0,Smart meter
ID2049,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Single Floor,,,2400.0,6,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,O/L or A/L pending / Passed,Unskilled Worker,SEC D,50000.0,Non smart meter
ID2050,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Slum / Shanty,,0.0,250.0,4,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Don't know,Brick,Asbestos,No,Primary Education,Unskilled Worker,SEC E,30000.0,Smart meter
ID2051,1,NEGOMBO,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,650.0,8,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,100000.0,Smart meter
ID2052,1,SEEDUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,600.0,2,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Don't know,Cement Block,Concrete,No,O/L or A/L pending / Passed,Junior executive / Executive,SEC B,80000.0,Smart meter
ID2053,1,PAYAGALA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,900.0,5,,,Yes,A shop,I am not aware of that.,Don't know,Cabook,Tile,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,60000.0,Non smart meter
ID2054,1,SEEDUWA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,800.0,6,,You pay the full amount of the electricity bill.,No,,The house is designed by a certified architect.,No,Brick,Tile,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,50000.0,Non smart meter
ID2055,1,DALUGAMA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Double Floor,,,900.0,3,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Yes,Brick,Asbestos,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,60000.0,Non smart meter
ID2056,1,JA-ELA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,3000.0,3,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Tile,No,O/L or A/L pending / Passed,Manager / Professional,SEC B,150000.0,Non smart meter
ID2057,1,MORATUWA SOUTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - More than 2 floors,,3.0,3800.0,4,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Concrete,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,150000.0,Non smart meter
ID2058,1,PANADURA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,2000.0,3,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,Yes,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,90000.0,Smart meter
ID2059,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,1300.0,7,,,No,,"The house plan is not done by an architect, nor checked by a certified architect / engineer, the house is designed to barely pass the legal requirements of the local authorities.",No,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Unskilled Worker,SEC D,60000.0,Smart meter
ID2060,1,KESELWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,800.0,6,,,No,,I am not aware of that.,Don't know,I am not aware of that,Asbestos,No,O/L or A/L pending / Passed,Unskilled Worker,SEC D,40000.0,Non smart meter
ID2061,1,DALUGAMA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,2000.0,4,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Tile,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,100000.0,Non smart meter
ID2062,1,KOLONNAWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,544.5,4,,,No,,I am not aware of that.,Don't know,Cement Block,Concrete,No,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,90000.0,Non smart meter
